Enlace,Baños,Área Construida,Antigüedad,Habitaciones,Parqueaderos,Área Privada,Estrato,Administración,Piso N°,Acepta mascotas,Documentación requerida,Estado,Cantidad de pisos,Contrato Mínimo,Precio,Latitud,Longitud
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/192155271,2,65.00  m2,1 a 8 años,3,1,65.00  m2,2,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 200.000,4.3924753677863,-75.140519142151
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-rincon-de-piedra-pintada-ibague/192712224,2,60.00  m2,16 a 30 años,2,1,60.00  m2,4,"$ 242,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.258.000,4.4402667986557,-75.205204440745
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192835522,2,62 m2,1 a 8 años,3,1,62 m2,3,$ 218.800,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 981.200,4.4169258029081,-75.177324156622
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-san-simon-parte-alta-ibague/192835647,1,50 m2,9 a 15 años,2,1,50 m2,4,$ 233.200,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.366.800,4.4380822,-75.2164781
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-vergel-ibague/192689744,4,212 m2,1 a 8 años,4,2,212 m2,5,$ 1.000.000,2,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 5.500.000,4.4548702337828,-75.194254517555
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192447633,2,55 m2,1 a 8 años,3,¡Pregúntale!,50 m2,3,$ 154.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 546.000,4.3913147072807,-75.140562057495
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-aparco-ibague/192802979,2,61 m2,1 a 8 años,3,1,57 m2,3,$ 184.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.140.000,4.410013,-75.169859
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192338349,2,50 m2,1 a 8 años,2,¡Pregúntale!,50 m2,3,$ 154.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 546.000,4.3913147072807,-75.140562057495
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ambala-ibague/192833753,2,63 m2,1 a 8 años,3,1,58 m2,3,$ 206.400,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 980.000,4.4530625361833,-75.203765630722
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192338376,1,45 m2,1 a 8 años,2,¡Pregúntale!,45 m2,2,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 500.000,4.404815631174,-75.141540057957
